Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRCplus,BsR,Fld,Off,Def,WAR,ADP,id
Juan Soto,SDP,150,675,524,148,27,2,33,113,95,137,93,5,9,4,0.282,0.431,0.53,0.961,0.412,173,-1.1,-0.8,55.9,-12.1,7,999,20123
Aaron Judge,NYY,150,677,567,157,25,1,44,111,106,95,169,6,10,4,0.276,0.383,0.555,0.938,0.396,163,0,3.4,48.1,-3.6,6.9,999,15640
Julio Rodríguez,SEA,149,679,606,168,32,3,32,100,86,54,160,9,25,9,0.277,0.343,0.499,0.841,0.361,142,1.6,-1,34.1,1.5,6,999,23697
Mookie Betts,LAD,150,693,603,163,36,3,31,108,85,71,110,9,15,4,0.27,0.353,0.493,0.845,0.365,139,1.8,6.8,33.1,0,5.9,999,13611
Adley Rutschman,BAL,130,579,492,126,30,1,19,78,65,73,99,6,4,2,0.257,0.358,0.44,0.798,0.35,130,0.5,0.4,20.3,7,5.9,999,26288
Wander Franco,TBR,144,649,583,167,37,6,16,88,76,53,70,5,10,4,0.287,0.349,0.455,0.804,0.349,134,0.7,0.8,25.6,7.2,5.6,999,23667
Mike Trout,LAA,150,677,572,147,28,2,40,105,100,88,179,8,3,1,0.257,0.361,0.522,0.882,0.375,146,-0.2,-4.8,34.7,-2.9,5.6,999,10155
Fernando Tatis Jr.,SDP,125,552,481,136,26,2,37,92,94,59,125,6,20,7,0.283,0.365,0.574,0.939,0.398,163,2,-0.1,42.8,-8.7,5.5,999,19709
Ronald Acuña Jr.,ATL,149,690,586,159,32,1,31,111,82,81,157,12,36,11,0.271,0.368,0.488,0.856,0.37,138,4.1,1.8,34.4,-5,5.5,999,18401
Vladimir Guerrero Jr.,TOR,150,665,584,171,32,1,40,102,114,67,102,7,6,3,0.293,0.369,0.555,0.925,0.393,161,-1.8,-0.9,44,-13.6,5.4,999,19611
José Ramírez,CLE,150,663,578,151,35,4,30,92,98,72,89,7,20,6,0.262,0.348,0.49,0.838,0.354,133,2.3,1.5,26.9,2.3,5.3,999,13510
Yordan Alvarez,HOU,138,603,519,148,31,2,36,91,104,71,124,7,2,1,0.284,0.375,0.558,0.933,0.395,163,-0.4,1.2,42.2,-11.2,5.3,999,19556
Nolan Arenado,STL,150,649,586,158,33,1,29,84,99,52,86,6,4,2,0.27,0.333,0.482,0.814,0.35,130,-0.3,4,22.3,5.9,5.3,999,9777
Alex Bregman,HOU,150,669,564,148,35,1,25,94,86,88,86,9,3,1,0.263,0.369,0.461,0.83,0.362,139,-1.3,-2.3,28.3,-0.5,5.2,999,17678
Carlos Correa,MIN,147,647,567,155,30,1,25,85,83,67,123,5,1,1,0.273,0.352,0.463,0.816,0.354,131,-0.9,-1.6,22.1,5.8,5.2,999,14162
Kyle Tucker,HOU,150,628,559,157,33,3,34,91,101,59,100,3,19,6,0.281,0.35,0.531,0.882,0.376,149,1.1,0.9,35.7,-6.9,5.1,999,18345
Manny Machado,SDP,150,663,588,158,30,1,30,89,98,65,124,3,8,3,0.268,0.342,0.476,0.818,0.35,130,-0.4,-0.1,22.9,1.6,4.9,999,11493
Rafael Devers,BOS,150,662,592,164,39,2,32,91,100,56,130,7,4,2,0.278,0.345,0.511,0.857,0.364,134,0.5,-2.7,25.9,-1.1,4.8,999,17350
Brandon Nimmo,NA,150,689,585,158,32,6,17,96,66,81,120,12,6,3,0.271,0.369,0.435,0.805,0.354,131,-0.2,-4.5,24.5,-2,4.7,999,12927
Freddie Freeman,LAD,150,675,579,170,34,2,25,101,89,81,103,7,9,3,0.293,0.383,0.49,0.873,0.375,145,0,-0.7,35.5,-13.2,4.7,999,5361
Trea Turner,PHI,150,687,624,177,34,4,21,94,76,47,120,5,23,6,0.284,0.337,0.45,0.788,0.342,120,3.2,-4.4,18.8,2.8,4.7,999,16252
Corey Seager,TEX,143,641,566,154,32,2,27,88,83,60,101,7,3,1,0.272,0.346,0.479,0.825,0.355,133,-0.1,-4.7,24,0.2,4.7,999,13624
